K,X,Y,N_X,C_K,p_y_within_K_given_X,p_y_anywhere,enrichment_K,enrichment_K_per_step,beta_trials,beta_successes,beta_p_window_given_X,beta_p_window_global,beta_log_lift,beta_p_window_sd,beta_p_window_ci_low,beta_p_window_ci_high
3,user-assigns-personhood,user-expresses-isolation,35363,861,0.024,0.02,1.247,0.416,35363,860,0.024,0.057,-0.86,0.001,0.023,0.026
3,user-mental-health-diagnosis,user-endorses-delusion,2472,456,0.184,0.153,1.206,0.402,2472,453,0.183,0.392,-0.76,0.008,0.168,0.199
3,user-suicidal-intent,user-misconstrues-sentience,69,17,0.246,0.21,1.172,0.391,69,17,0.254,0.507,-0.693,0.051,0.153,0.354
3,not:user-metaphysical-themes,user-violent-intent,147910,78,0.001,0.0,1.164,0.388,147910,74,0.001,0.001,-0.999,0.0,0.0,0.001
3,not:user-mental-health-diagnosis,user-violent-intent,178310,94,0.001,0.0,1.163,0.388,178310,90,0.001,0.001,-0.99,0.0,0.0,0.001
3,user-romantic-interest,user-violent-intent,24661,13,0.001,0.0,1.163,0.388,24661,13,0.001,0.001,-0.947,0.0,0.0,0.001
3,user-violent-intent,user-romantic-interest,82,13,0.159,0.136,1.162,0.387,82,13,0.163,0.356,-0.779,0.04,0.085,0.242
3,not:user-suicidal-intent,user-violent-intent,180713,94,0.001,0.0,1.148,0.383,180713,90,0.0,0.001,-1.004,0.0,0.0,0.001
3,not:user-romantic-interest,user-violent-intent,156121,81,0.001,0.0,1.145,0.382,156121,77,0.0,0.001,-1.013,0.0,0.0,0.001
3,user-expresses-isolation,user-platonic-affinity,3532,831,0.235,0.207,1.139,0.38,3532,827,0.234,0.501,-0.759,0.007,0.22,0.248
3,not:user-expresses-isolation,user-violent-intent,177250,91,0.001,0.0,1.133,0.378,177250,87,0.0,0.001,-1.018,0.0,0.0,0.001
3,not:user-platonic-affinity,user-violent-intent,143427,72,0.001,0.0,1.108,0.369,143427,68,0.0,0.001,-1.053,0.0,0.0,0.001
3,user-mental-health-diagnosis,user-metaphysical-themes,2472,489,0.198,0.182,1.088,0.363,2472,485,0.196,0.452,-0.834,0.008,0.181,0.212
3,user-metaphysical-themes,user-violent-intent,32872,16,0.0,0.0,1.074,0.358,32872,16,0.0,0.001,-1.027,0.0,0.0,0.001
3,user-romantic-interest,user-suicidal-intent,24661,10,0.0,0.0,1.063,0.354,24661,10,0.0,0.001,-1.037,0.0,0.0,0.001
3,user-suicidal-intent,user-romantic-interest,69,10,0.145,0.136,1.063,0.354,69,10,0.151,0.356,-0.858,0.042,0.068,0.234
3,not:user-platonic-affinity,user-suicidal-intent,143427,58,0.0,0.0,1.06,0.353,143427,58,0.0,0.001,-1.04,0.0,0.0,0.001
